65, 98, 1033
113, 100, 1149
113, 100, 1149
149, 161, 1286
3, 227, 1643
37, 355, 1923
182, 366, 1958
351, 316, 1836
351, 316, 1836
130, 370, 1472
361, 345, 1438
473, 335, 1317
301, 399, 728
360, 216, -422
239, -8, -848
239, -8, -848
278, -30, -707
380, 1, -488
587, 42, -644
757, 7, -1197
757, 7, -1197
724, -3, -1578
636, 96, -1358
724, 196, -1000
699, 215, -1009
558, 202, -1250
561, 164, -1764
366, 162, -1996
344, 242, -1913
344, 242, -1913
359, 319, -1900
-49, 374, -1997
-224, 517, -1997
-43, 708, -1993
1, 662, -1629
-234, 660, -1033
-429, 653, -797
-256, 563, -643
-8, 454, -362
278, 355, -476
278, 355, -476
625, -9, -467
-,-,-
478, -5, 908
478, -5, 908
477, 9, 979
418, 46, 973
469, 114, 995
620, 158, 1106
620, 158, 1106
925, 182, 1480
1050, 114, 1683
1059, 44, 1469
1050, 62, 1273
1008, 113, 1199
700, 255, 1029
813, 108, 590
813, 108, 590
793, 104, 417
637, 217, 279
441, 294, -231
60, 257, -934
60, 257, -934
-276, 247, -1201
-174, 192, -1120
122, 168, -772
330, 121, -1085
250, 153, -1492
337, 179, -1681
503, 298, -1795
504, 292, -1939
164, 308, -1997
-22, 353, -1877
-22, 353, -1877
-316, 401, -1621
-377, 451, -1568
-95, 453, -1537
-204, 412, -1337
-428, 437, -1142
-368, 516, -974
-588, 531, -834
-836, 563, -499
-299, 347, -416
589, 49, -210
987, -101, 77
987, -101, 77
1109, -182, 521
1127, -94, 864
1070, -49, 984
814, 58, 1114
-,-,-
167, 90, 1207
167, 90, 1207
324, -10, 1159
371, -119, 1208
319, 8, 1257
83, 181, 1213
-67, 219, 980
-67, 219, 980
-11, 60, 701
89, -63, 552
216, 28, 456
332, 94, 92
332, 94, 92
253, 211, -297
-48, 274, -810
-334, 210, -1371
-553, 190, -1528
-259, 356, -1184
159, 324, -950
159, 324, -950
295, 237, -1316
133, 197, -1608
51, 213, -1892
67, 185, -1919
26, 183, -1737
-117, 257, -1416
-245, 327, -1155
-397, 399, -1186
-367, 420, -1233
-474, 367, -1407
-591, 378, -1496
-660, 490, -1363
-234, 465, -1140
-234, 465, -1140
-295, 374, -614
-322, 249, -355
-197, 109, 37
21, -2, 394
15, 3, 379
15, 3, 379
19, -90, 192
377, -146, 205
889, -168, 562
1155, -138, 913
1155, -138, 913
1128, -12, 1053
1220, 15, 991
1213, -33, 948
956, 47, 1062
-,-,-
-19, 33, 1184
-44, 66, 1378
65, 123, 1496
206, 122, 1444
332, 138, 1506
332, 138, 1506
291, 247, 1637
552, 162, 1394
685, 22, 1144
536, -2, 1005
287, 87, 795
287, 87, 795
8, 95, 341
-25, 80, -2
-25, 80, -2
-17, 63, -272
-46, 86, -491
69, 96, -750
-12, 107, -913
-12, 107, -913
-195, 149, -1096
71, 94, -1212
244, 66, -1231
152, 97, -1388
40, 72, -1772
105, 39, -1891
105, 39, -1891
193, 90, -1747
88, 146, -1610
-259, 209, -1620
-224, 261, -1650
-368, 260, -1775
-456, 325, -1855
-286, 349, -1702
-225, 362, -1199
-178, 364, -860
-141, 322, -616
-386, 262, -282
-504, 313, -22
-504, 313, -22
-91, 196, -61
699, -36, 348
1338, -207, 847
1238, -140, 890
841, -42, 831
473, 109, 1034
-,-,-
458, 99, 830
458, 99, 830
457, 122, 976
701, 130, 1353
900, 261, 1527
912, 179, 1587
912, 179, 1587
832, 114, 1437
733, 161, 1389
417, 220, 896
223, 273, 371
246, 72, 119
246, 72, 119
144, 156, 211
-14, 317, -130
-87, 345, -741
-429, 364, -1203
-945, 263, -1557
-1057, 317, -1213
-485, 392, -681
60, 269, -823
60, 269, -823
175, 184, -1033
-40, 239, -1164
-31, 238, -1310
22, 252, -1409
-111, 268, -1668
-183, 356, -1621
-183, 383, -1476
-464, 392, -1501
-662, 472, -1344
-563, 598, -1614
-315, 611, -1476
-132, 472, -961
-354, 390, -397
-354, 390, -397
-400, 326, -142
-34, 205, 195
403, 37, 250
663, -138, -25
820, -136, 601
1033, -73, 1077
942, -43, 973
942, -43, 973
-,-,-
501, 38, 999
471, 42, 1004
389, 103, 1155
486, 98, 1459
631, 105, 1661
712, 179, 1736
712, 179, 1736
653, 231, 1623
459, 236, 1361
346, 164, 1035
663, -27, 831
718, -129, 595
572, 24, 145
572, 24, 145
290, 175, -422
99, 230, -1014
-281, 199, -1241
-389, 170, -1276
-137, 172, -1145
136, 238, -1079
283, 251, -1248
259, 304, -1516
259, 304, -1516
151, 338, -1589
-16, 318, -1644
-143, 304, -1745
-43, 342, -1655
-3, 341, -1573
-345, 366, -1634
-218, 422, -1665
-249, 389, -1652
-425, 454, -1281
-468, 535, -943
-323, 467, -708
-132, 304, -629
-290, 322, -327
47, 193, 1
47, 193, 1
416, 11, 76
694, -74, 257
694, -74, 257
785, -31, 565
887, 37, 836
968, 62, 1136
1125, 101, 1298
-,-,-
372, 85, 870
376, 137, 921
376, 137, 921
396, 175, 952
509, 175, 990
719, 177, 1136
901, 234, 1286
958, 317, 1545
958, 317, 1545
894, 293, 1750
866, 292, 1631
749, 255, 1196
602, 257, 904
438, 281, 456
438, 281, 456
50, 283, 417
86, 207, 238
-123, 167, -138
-329, 81, -961
-296, 116, -1075
-269, 259, -570
-269, 259, -570
-273, 302, -341
-501, 238, -727
-123, 160, -1274
271, 106, -1477
372, 90, -1331
466, 87, -1432
288, 88, -1744
255, 96, -1983
164, 174, -1820
164, 174, -1820
72, 211, -1544
-46, 248, -1338
-384, 385, -1377
-89, 483, -1356
-109, 444, -1058
-400, 524, -480
-396, 542, -214
-167, 417, -29
-251, 232, 467
-169, 104, 667
-169, 104, 667
-70, 42, 423
96, 26, 683
611, -112, 444
1045, -328, 663
990, -198, 1126
990, -198, 1126
-,-,-
480, 64, 1481
480, 64, 1481
197, 138, 1407
258, 99, 1173
187, -13, 1016
68, 90, 864
68, 90, 864
-169, 149, 693
-311, 147, 480
-154, 107, 187
-96, 42, -234
-96, 42, -234
-177, 138, -438
-352, 219, -602
-352, 308, -431
-196, 299, -480
-111, 257, -919
21, 222, -1395
121, 212, -1523
197, 254, -1447
190, 270, -1489
190, 270, -1489
18, 321, -1608
-183, 360, -1765
-183, 397, -1698
-71, 407, -1403
-274, 452, -1120
-611, 458, -1317
-755, 491, -1504
-464, 621, -1168
-467, 566, -715
-675, 535, -443
-784, 509, -454
-698, 435, -374
-380, 377, -37
-74, 222, 377
-74, 222, 377
133, 66, 412
218, -79, 168
311, -143, 78
637, -139, 7
637, -139, 7
1302, -217, 511
1477, 10, 1536
916, 383, 1745
509, 411, 1178
325, 331, 1352
-,-,-
390, 93, 1013
548, 74, 1050
609, 81, 1123
585, 83, 1280
585, 83, 1280
573, 85, 1296
639, 79, 1313
730, 81, 1376
516, 207, 1354
260, 219, 1116
260, 219, 1116
176, 46, 767
146, -61, 747
286, -88, 688
368, 50, 523
368, 50, 523
153, 62, -52
53, 142, -531
-36, 194, -790
91, 292, -971
91, 292, -971
159, 206, -1245
36, 221, -1488
0, 288, -1485
135, 346, -1355
234, 365, -1519
124, 371, -1799
-33, 369, -1995
-33, 369, -1995
-133, 368, -1935
-74, 409, -1662
-68, 433, -1439
-264, 376, -1312
-363, 335, -1284
-406, 357, -1141
-349, 395, -951
-334, 305, -676
-505, 220, -381
-646, 135, -230
-372, 26, -94
-232, 34, 244
-232, 34, 244
20, 0, 392
297, 12, 341
607, -51, 662
607, -51, 662
917, -26, 1071
882, 126, 1213
702, 324, 1294
517, 338, 123
-,-,-
313, 165, 864
539, 130, 842
677, 220, 1012
982, 316, 1133
1145, 308, 1538
1145, 308, 1538
1119, 244, 1849
879, 315, 1705
554, 407, 1317
353, 322, 874
283, 223, 487
190, 38, 44
190, 38, 44
18, -70, -207
-173, 20, 10
-321, 136, 51
-321, 136, 51
-373, 226, -253
-221, 166, -897
-308, 118, -1173
-419, 179, -1009
-377, 221, -1015
-84, 163, -1293
20, 123, -1384
-18, 128, -1408
